62.77508187294006 Tr_Time
0.3549485206604004 Te_Time
0.9641954898834229 DL_Time
99.46055849961327 Kappa accuracy (%)
99.50099800399201 Overall accuracy (%)
99.53295867542555 Average accuracy (%)
                 precision    recall  f1-score   support

  Healthy grass       0.99      0.98      0.99       250
 Stressed grass       1.00      0.99      1.00       251
Synthetic grass       0.99      1.00      1.00       139
          Trees       0.98      1.00      0.99       249
           Soil       1.00      1.00      1.00       248
          Water       1.00      1.00      1.00        65
    Residential       1.00      0.99      1.00       254
     Commercial       1.00      1.00      1.00       249
           Road       1.00      0.98      0.99       250
        Highway       0.99      1.00      0.99       245
        Railway       0.99      1.00      0.99       247
  Parking Lot 1       1.00      1.00      1.00       247
  Parking Lot 2       1.00      0.99      0.99        94
   Tennis Court       1.00      1.00      1.00        86
  Running Track       1.00      0.99      1.00       132

       accuracy                           1.00      3006
      macro avg       1.00      1.00      1.00      3006
   weighted avg       1.00      1.00      1.00      3006

[ 98.          99.20318725 100.         100.         100.
 100.          99.21259843 100.          98.4        100.
 100.         100.          98.93617021 100.          99.24242424]
[[245   0   0   5   0   0   0   0   0   0   0   0   0   0   0]
 [  2 249   0   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0 139   0   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0 249   0   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0 248   0   0   0   0   0   0   0   0   0   0]
 [  0   0   0   0   0  65   0   0   0   0   0   0   0   0   0]
 [  0   0   0   1   0   0 252   0   0   0   1   0   0   0   0]
 [  0   0   0   0   0   0   0 249   0   0   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0 246   2   2   0   0   0   0]
 [  0   0   0   0   0   0   0   0   0 245   0   0   0   0   0]
 [  0   0   0   0   0   0   0   0   0   0 247   0   0   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0 247   0   0   0]
 [  0   0   0   0   0   0   0   0   0   1   0   0  93   0   0]
 [  0   0   0   0   0   0   0   0   0   0   0   0   0  86   0]
 [  0   0   1   0   0   0   0   0   0   0   0   0   0   0 131]]
